DATE,PARTY NAME,BILL,ITEM,MAKE,QTY,RATE,TOTAL,PARTY,EX RATE,TOTAL,BROK.TIME,OTHER NOTI.,PAY DATE
08-02-2022,ANUPAM MKT. P LTD,SALE,UCF 206,SKF,4,780.52,3122.08,GAUTTAM ENT.,,0,MARCH,,
08-02-2022,ANUPAM MKT. P LTD,SALE,UCF 207,SKF,4,889.2,3556.8,GAUTTAM ENT.,,0,MARCH,,
08-02-2022,ANUPAM MKT. P LTD,SALE,UCF 208,SKF,4,1021.8,4087.2,GAUTTAM ENT.,,0,MARCH,,
08-02-2022,ANUPAM MKT. P LTD,SALE,UCF 209,SKF,4,1175.72,4702.88,GAUTTAM ENT.,,0,MARCH,,
14-02-2022,ANUPAM MKT. P LTD,SALE,UCF 204/205,SKF,4,1216.8,4867.2,GAUTTAM ENT.,,0,MARCH,,
25-02-2022,ANUPAM MKT. P LTD,6948,LGHP 2.04,SKF,62,684.98,42468.76,KOHINOOR BRGS,,0,MARCH,,
04-03-2022,ANUPAM MKT. P LTD,SALE,UCP 204,SKF,14,523.77,7332.78,GAUTTAM ENT.,,0,MARCH,,
04-03-2022,ANUPAM MKT. P LTD,SALE,UCP 206,SKF,2,776.73,1553.46,GAUTTAM ENT.,,0,MARCH,,
17-03-2022,ANUPAM MKT. P LTD,7527,LGHP 2.04,SKF,38,684.98,26029.24,KOHINOOR BRGS,,0,MARCH,,
19-03-2022,ANUPAM MKT. P LTD,7570,LGHP 2.04,SKF,24,684.98,16439.52,KOHINOOR BRGS,,0,MARCH,,
21-03-2022,ANUPAM MKT. P LTD,7593,,SKF,1,3219.12,3219.12,KOHINOOR BRGS,,0,MARCH,,
22-03-2022,ANUPAM MKT. P LTD,7621,,SKF,1,40628.64,40628.64,KOHINOOR BRGS,,0,MARCH,,
23-03-2022,ANUPAM MKT. P LTD,7679,7020CDT/P4BA,SKF,4,10000,40000,KOHINOOR BRGS,500,2000,MARCH,,
19-05-2021,ASHOKA BRG ENTERPRISE,847,UCF 213/UCP 210,SKF,1,67517.18,67517.18,KOHINOOR BRGS,,0,MARCH,,
