DATE,BILL,ITEM,MAKE,QTY,RATE,TOTAL,PARTY,EX RATE,EX TOTAL
17-11-2021,SALE,3201,NTN,3,750,2250,GAUTTAM ENT.,0,0
17-11-2021,SALE,6919 ZZ,NTN,2,2100,4200,GAUTTAM ENT.,0,0
17-11-2021,SALE,SS 6202 ZZ,EZO,1,450,450,GAUTTAM ENT.,0,0
17-11-2021,SALE,SS 6804 ZZ,EZO,1,575,575,GAUTTAM ENT.,0,0
17-11-2021,SALE,SS 6900 ZZ,EZO,2,375,750,GAUTTAM ENT.,0,0
17-11-2021,SALE,SS 698 ZZ,EZO,48,250,12000,GAUTTAM ENT.,0,0
22-11-2021,SALE,688 ZZ,EZO,10,90,900,KOHINOOR BRGS,0,0
22-11-2021,SALE,693 ZZ,EZO,310,85,26350,KOHINOOR BRGS,0,0
23-11-2021,SALE,6700 ZZ SS,EZO,16,300,4800,GAUTTAM ENT.,0,0
23-11-2021,SALE,6903 ZZ SS,EZO,16,475,7600,GAUTTAM ENT.,0,0
08-12-2021,SALE,693 ZZ,EZO,300,85,25500,KOHINOOR BRGS,0,0
09-12-2021,SALE,698 ZZ,EZO,34,100,3400,GAUTTAM ENT.,0,0
10-12-2021,SALE,3202,NTN,4,750,3000,GAUTTAM ENT.,0,0
11-12-2021,SALE,6804 ZZ,NTN,10,200,2000,GAUTTAM ENT.,0,0
11-12-2021,SALE,6804 ZZ,NTN,12,190,2280,KOHINOOR BRGS,0,0
18-12-2021,SALE,SS 6204 ZZ,EZO,2,500,1000,GAUTTAM ENT.,0,0
18-12-2021,SALE,SS 6205 ZZ,EZO,2,600,1200,GAUTTAM ENT.,0,0
21-12-2021,SALE,6904 ZZ,EZO,6,170,1020,GAUTTAM ENT.,0,0
21-12-2021,SALE,6906 ZZ SS,EZO,1,1050,1050,GAUTTAM ENT.,0,0
29-12-2021,SALE,SS 600A 2RS,BTM,380,75,28500,GAUTTAM ENT.,0,0
,TOTAL,,,,,511465,,,0
,,, ,,,,,,
,,BROKERAGE AT 1% ->,,5114.65,,,,,
,,,EXTRA ->,0,,,,,
,,,TOTAL ->,5114.65,,,,,
