,,,,PURCHASE 2020-21,,,,,,,,,,
,,,,,,,,,,,,,,
DATE ,PARTY NAME,BILL,ITEM,MAKE,QTY,RATE,TOTAL,PARTY,EX RATE,EX TOTAL,REMARKS,BROK.TIME,OTHER NOTI.,PAY DATE
10-06-2020,POLITE ENTERPRISE,SALE,UCP 208,CHINA,16,250,0,GAUTTAM ENT.,,0,,RECD,,
10-06-2020,SMIT INTERNAIONAL,,7210,ZVL,6,,0,M/S KUNJAN TRA.CORP,,0,,RECD,,
10-06-2020,SMITH INTERNATIONAL,SALE,7308,ZVL,5,700,0,M/S KUNJAN TRA.CORP,,0,,RECD,,
10-06-2020,V M CORP HEMANT,SALE,30MMX2MTR,CHINA,2,1900,0,GAUTTAM ENT.,,0,,RECD,,
10-06-2020,V M CORP HEMANT,SALE,SC 30 UU,CHINA,12,475,0,GAUTTAM ENT.,,0,,RECD,,
10-06-2020,VISHAL NEEDLE,SALE,POS 12,WERB,8,85,0,GAUTTAM ENT.,,0,,RECD,,
10-06-2020,VISHAL NEEDLE,SALE,POS 18,BTF,8,200,0,KOHINOOR BEARING,10,0,,RECD,,
11-06-2020,A BALL CREATION,16,"5/16 "" HCHC",BALL,2000,0.5,0,KOHINOOR BEARING,0.05,0,,RECD,,
11-06-2020,A BALL CREATION,16,"5/8""",BALL,1500,2.2,0,KOHINOOR BEARING,0.1,0,,RECD,,
11-06-2020,AJAHARA ENTER.,RECD,6007 ZZ,FAG,100,164,0,NMSA,,0,,RECD,,
11-06-2020,AKSHAT ENTER.,X,30207,JEC,30,100,0,KOHINOOR BEARING,10,0,,RECD,,
11-06-2020,AKSHAT ENTER.,X,30209,JEC,15,116,0,KOHINOOR BEARING,13,0,,RECD,,
11-06-2020,AKSHAT ENTER.,X,32211,JEC,2,165,0,KOHINOOR BEARING,15,0,,RECD,,
11-06-2020,AKSHAT ENTER.,X,0-18,GEM,10,108.5,0,KOHINOOR BEARING,9.3,0,,RECD,,
11-06-2020,AKSHAT ENTER.,X,0-22,GEM,6,169,0,KOHINOOR BEARING,14.5,0,,RECD,,
11-06-2020,AKSHAT ENTER.,X,48548/10,JEC,17,95,0,KOHINOOR BEARING,10,0,,RECD,,
11-06-2020,AKSHAT ENTER.,X,501349/10,JEC,30,100,0,KOHINOOR BEARING,15,0,,RECD,,
11-06-2020,AKSHAT ENTER.,X,601349/10,JEC,30,110,0,KOHINOOR BEARING,10,0,,RECD,,
11-06-2020,AMPLE BEARING ENT.,62,NATB 5906,IKO,10,1200,0,KOHINOOR BEARING,50,0,,RECD,,
11-06-2020,H D ENTER.,SALE,UCFL 204,HONG,12,275,0,GAUTTAM ENT.,,0,,RECD,,
11-06-2020,H D ENTER.,SALE,UCP 208,DEV,10,120,0,HARSH SALES CORP.,,0,,RECD,,
11-06-2020,HEENA INTERNATIONAL,SALE,6205 ZZ,KG,190,41,0,KOHINOOR BEARING,,0,,RECD,,
11-06-2020,HEENA INTERNATIONAL,SALE,6206 ZZ,KG,120,60,0,KOHINOOR BEARING,,0,,RECD,,
11-06-2020,HINDPAL,RECD,607 2RS,SKF,20,125,0,NMSA,10,0,,RECD,,
11-06-2020,HINDPAL,RECD,608 2RS,SKF,20,110,0,NMSA,,0,,RECD,,
11-06-2020,HINDPAL,RECD,6215 ZZ,SKF,6,2147.04,0,NMSA,76.5,0,,RECD,,
11-06-2020,JIGNESH SALES CORP,SALE,UCF 207,SBK,25,215,5375,HARSH SALES CORP.,,0,,OCT,,
11-06-2020,MAHAVIR TRADING CORP,RECD,MB 38,MTC,50,320.5,16025,KOHINOOR BEARING,,0,,OCT,,
12-06-2020,AMRIT ENTERPRISE,SALE,UCP 208,NTN,2,1100,0,GAUTTAM ENT.,,0,,RECD,,
12-06-2020,AMRIT ENTERPRISE,SALE,UCP 212,NTN,2,2400,0,GAUTTAM ENT.,,0,,RECD,,
12-06-2020,ATUL-HARESH,SALE,LMF 6 L UU,SLM,6,250,0,GAUTTAM ENT.,,0,,RECD,,
12-06-2020,AUTO SALES P LTD,SALE,22224,FAG,4,8798.4,0,KOHINOOR BEARING,,0,,RECD,,
12-06-2020,BEREWELL TRADERS,RECD,16021,NTN,1,2700,0,KOHINOOR BEARING,100,0,,RECD,,
12-06-2020,BEREWELL TRADERS,RECD,6906 ZZ,NTN,2,200,0,KOHINOOR BEARING,,0,,RECD,,
12-06-2020,DEEPAK C J,SALE,6819 ZZ,NTN,1,1700,0,GAUTTAM ENT.,,0,,RECD,,
12-06-2020,DEEPAK C J,SALE,6920 ZZ,NTN,1,2400,0,GAUTTAM ENT.,,0,,RECD,,
12-06-2020,MASRANI MILL GIN ST,44,,hkg,1,2520,0,KOHINOOR BEARING,,0,,RECD,,
12-06-2020,PAREKH BEARING JINESH,18,608 2RS,HCH,375,16.5,0,KOHINOOR BEARING,,0,,RECD,,
12-06-2020,PARESH BEARING CORP,SALE,2202,KBL,40,52,0,KOHINOOR BEARING,2,0,,RECD,,
12-06-2020,POLITE ENTERPRISE,SALE,UCF 211,CHINA,10,425,0,GAUTTAM ENT.,,0,,RECD,,
12-06-2020,SANJAY ORIENT,SALE,7304,SKF,2,929,0,GAUTTAM ENT.,,0,,RECD,,*
